Rank,Username,Followers,Following,Uploads,Likes,Cluster,Cluster_Label
78,Brooke Monk,35000000,2217,4049,3100000000,1,Rising Stars
79,Kirya Kolesnikov,34700000,94,437,786400000,0,Mid-tier Creators
80,kyle thomas??,34600000,4919,144,1700000000,0,Mid-tier Creators
81,Kevin Hart,34500000,17,134,184000000,0,Mid-tier Creators
82,Benji krol,34500000,1061,3859,1900000000,1,Rising Stars
83,Sabrina Carpenter,34100000,1,214,400600000,0,Mid-tier Creators
84,Alejandro Nieto,34000000,340,3666,2700000000,1,Rising Stars
85,Devon Rodriguez,33900000,93,1033,498300000,0,Mid-tier Creators
86,noah beck,33400000,2611,3290,2500000000,1,Rising Stars
87,Enejota,33200000,686,76,205000000,0,Mid-tier Creators
88,BORREGO,32800000,411,948,1100000000,0,Mid-tier Creators
89,Taylor Swift,32700000,0,71,246700000,0,Mid-tier Creators
90,La Rosalia,32700000,1573,231,396500000,0,Mid-tier Creators
91,ThatLittlepuff,32700000,352,1108,824400000,0,Mid-tier Creators
92,LALIGA,32700000,117,3893,439700000,0,Mid-tier Creators
93,Lele Pons ,32600000,595,652,794200000,0,Mid-tier Creators
94,Kunno,32400000,851,4455,3200000000,1,Rising Stars
95,Merrick,32400000,825,1862,65700000,0,Mid-tier Creators
96,Arnaldo Mangini,32300000,105,2052,251800000,0,Mid-tier Creators
97,Fujiiian,32300000,464,1571,1900000000,0,Mid-tier Creators
98,Surthycooks,32300000,176,1242,918400000,0,Mid-tier Creators
99,Faisal shaikh ,3200000,0,456,2000000000,-1,Outliers (High Followers)
100,ignacia Antonia??,31700000,269,1409,2500000000,0,Mid-tier Creators
